
"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     7, "max",      0.985,       0.000,      0.039,     -0.000,      6.539,      0.052
     7, "min",      0.927,       0.000,     -0.057,     -0.000,     -7.161,      0.000
     8, "max",      0.000,      -0.000,    302.309,     -0.000,  45343.471,     -0.019
     8, "min",      0.000,      -0.000,   -302.309,     -0.000,     -2.938,     -0.019

"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     1, "max",      0.221,       0.000,      1.832,     -0.000,    318.647,     -0.000
     1, "min",     -3.474,       0.000,     -1.863,     -0.000,      0.140,     -0.000
     2, "max",      0.115,       0.569,      1.496,     -4.976,     43.625,     28.399
     2, "min",      0.115,       0.569,      0.726,     -4.976,    -11.911,     -0.070
     3, "max",      0.115,      -0.569,      1.496,      4.976,     43.625,      0.070
     3, "min",      0.115,      -0.569,      0.726,      4.976,    -11.911,    -28.399
     4, "max",     -1.166,      -0.000,     -0.005,      0.018,      2.807,     -0.009
     4, "min",     -1.233,      -0.000,     -0.032,      0.018,     -6.739,     -0.027
     5, "max",     -1.166,       0.000,     -0.005,     -0.018,      2.807,      0.027
     5, "min",     -1.233,       0.000,     -0.032,     -0.018,     -6.739,      0.009
     6, "max",      0.985,      -0.000,      0.039,      0.000,      6.539,     -0.000
     6, "min",      0.927,      -0.000,     -0.057,      0.000,     -7.161,     -0.052
     7, "max",      0.985,       0.000,      0.039,     -0.000,      6.539,      0.052
     7, "min",      0.927,       0.000,     -0.057,     -0.000,     -7.161,      0.000
     8, "max",      0.000,      -0.000,    302.309,     -0.000,  45343.471,     -0.019
     8, "min",      0.000,      -0.000,   -302.309,     -0.000,     -2.938,     -0.019

"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
     1, "max",      0.210,       0.000,      1.826,      0.000,    320.128,      0.000
     1, "min",     -3.485,       0.000,     -1.869,      0.000,     -0.125,     -0.000
     2, "max",      0.136,       0.571,      1.490,     -6.725,     46.590,     28.561
